"codigoAtivo","nome","descricao","categoria","etiqueta","tipo","subtipo","nomeBovespa"
"LFTS11","INVESTO TEVA TESOURO SELIC ETF","Acompanha a performance de títulos públicos pós fixados ligados a Selic","Renda Fixa Brasil","TESOURO SELIC","ETF","ETF_RF","INVESTO LFTSF11"
"NTNS11","INVESTO TEVA IPCA+ 0 A 4 ANOS","Fundo de índice que acompanha a performance de títulos atrelados à inflação (NTN-B), com prazo de 0 a 4 anos.","Renda Fixa Brasil","TESOURO IPCA","ETF","ETF_RF","INVESTO NTNSF11"
"WRLD11","INVESTO FTSE GLOBAL EQUITIES","Fundo de índice listado na B3 que replica no Brasil o mundialmente conhecido ETF VT (Vanguard® Total World Stock).","Renda Variável Global","ECONOMIA GLOBAL","ETF","ETF_RV","INVESTO WRLDCI"
"ALUG11","INVESTO ETF MSCI REAL ESTATE ETF","Fundo de índice que replica o ETF VNQ (Vanguard® Real Estate)","Alternativos","REITS AMERICANOS","ETF","ETF_RV","INVESTO ALUGCI"
"JOGO11","INVESTO ETF GL VI GA & ES","Fundo de índice listado na B3 que replica no Brasil o conhecido ETF ESPO (VanEck Video Gaming & E-sports Index) da gestora VanEck.  ","Renda Variável Global","GAMES E E-SPORTS","ETF","ETF_RV","INVESTO JOGOCI"
"USTK11","INVESTO ETF MSCI US TECHNOLOGY","Fundo de índice listado na B3 que replica no Brasil o mundialmente conhecido ETF VGT (Vanguard® Information Technology), listado na Bolsa de Valores de Nova York. ","Renda Variável Global","TECNOLOGIA AMERICANA","ETF","ETF_RV","INVESTO USTKCI"
"SVAL11","INVESTO ETF S&P SMALLCAP 600 VALUE","Fundo de índice listado na B3 que espelha no Brasil o conhecido ETF VIOV (Vanguard® S&P Small-Cap 600 Value ), que replica o desempenho do índice S&P Small-Cap 600 Value. ","Renda Variável Global","SMALL CAPS AMERICANAS","ETF","ETF_RV","INVESTO SVALCI"
"NFTS11","INVESTO VANECK METAVERSE ETF","Fundo de índice listado na B3 que investe nos maiores e mais líquidos ativos do setor de mídia e entretenimento.","Cryptomoedas","NFTS E GAMECOINS","ETF","ETF_RV","INVESTO NFTSCI"
"CHIP11","INVESTO ETF US LISTED SEMICONDUCTOR 25 INDEX","Fundo de índice listado na B3 que replica no Brasil o mundialmente conhecido ETF SMH ® (VanEck Semiconductor ETF), listado na bolsa de valores americana NASDAQ.","Renda Variável Global","SEMICONDUTORES","ETF","ETF_RV","INVESTO CHIPCI"
"BNDX11","INVESTO BLOOMBERG GLOBAL BOND","Fundo de índice listado na B3 que replica no Brasil o conhecido ETF BNDX (Vanguard® Total International Bond ETF), que nos Estados Unidos possui cerca de US$ 55 bilhões* sob gestão.","Renda Fixa Global","RENDA FIXA GLOBAL","ETF","ETF_RF","INVESTO BNDXCI"
"FOOD11","INVESTO ETF GLOBAL AGRIBUSINESS","Fundo de índice listado na B3 que espelha no Brasil o conhecido  ETF MOO® (VanEck Agribusiness), que replica o desempenho do índice MVIS® Global Agribusiness investindo nas principais empresas do agronegócio mundial.","Renda Variável Global","AGRONEGÓCIO GLOBAL","ETF","ETF_RV","INVESTO FOODCI"
"BLOK11","INVESTO VANECK ETF CRYPTO COMPARE SMART CONTRACTS","Fundo de índice listado na B3 que replica no Brasil o desempenho do índice MarketVector Smart Contract Leaders Brazil Index.","Cryptomoedas","SMART CONTRACTS","ETF","ETF_RV","INVESTO BLOKCI"
